S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
-0.376439208,0.438839177,3.751953267,-0.530205941,0.160871705,3.751953267,-0.370139178,0.35810682,3.751953267,-0.644269171,0.667871484,5.376695962
-0.46868377,0.4555351,3.041134727,-0.558342907,0.16079992,3.041134727,-0.536457222,0.523264291,3.041134727,-0.686139583,0.71718532,4.909157182
2.044302291,-2.074776091,-0.066639238,2.064022266,-2.415947009,-0.066639238,1.710466948,-2.110157303,-0.066639238,1.107047417,-0.424468366,-0.07792313
2.056850265,-1.931279019,-0.044426159,1.62403047,-2.199943902,-0.044426159,1.814823368,-2.221258408,-0.044426159,1.688825784,-1.111600068,-0.051948753
1.937474948,-2.04050551,-0.022213079,2.007396623,-2.475457336,-0.022213079,1.716989224,-1.946593631,-0.022213079,1.785159214,-1.440390957,-0.025974377
0.895993141,-1.277589665,-0.022213079,1.420389183,-1.952283311,-0.022213079,1.827867921,-1.738669208,-0.022213079,1.249973488,-1.223707496,-0.025974377
0.449692243,-1.131895762,0,0.658580846,-1.344545758,0,1.04519477,-1.182499599,0,0.988362112,-1.168205445,0
-0.023061141,-0.43303954,-0.022213079,0.1267922,-0.730419278,-0.022213079,0.291871862,-0.674741649,-0.022213079,0.265546565,-0.595339849,-0.025974377
-0.251976875,-0.007029863,-0.022213079,0.15563259,-1.012321638,-0.022213079,0.021197398,-0.307171645,-0.022213079,-0.364713332,-0.130600116,-0.025974377
-0.757287163,0.101493642,-0.044426159,-0.133826442,-0.261371655,-0.044426159,0.053808779,-0.39702209,-0.044426159,-0.411620787,0.103544665,-0.025974377
-0.538545461,0.247802659,-0.066639238,-0.272400996,0.161087062,-0.066639238,-0.109248127,0.100774613,-0.066639238,-0.598620976,0.659284736,-0.025974377
-0.372708729,0.274955503,-0.088852317,-0.323750958,0.160943491,-0.088852317,-0.262521619,0.418139933,-0.088852317,-0.681732172,0.864982917,-0.051948753
-0.350664992,0.294111879,-0.133278476,-0.429264578,0.161230634,-0.133278476,-0.412533973,0.781592622,-0.133278476,-0.685509953,0.820849911,-0.07792313
-0.461901082,0.351844626,-0.133278476,-0.506992945,0.160871705,-0.133278476,-0.507106979,0.796600901,-0.133278476,-0.729269257,0.869875924,-0.103897507
1.327711259,-1.401051628,-0.022213079,1.235036924,-1.171757629,-0.022213079,0.914749245,-0.694597734,-0.022213079,0.320324398,0.106566816,-0.025974377
2.021919419,-2.241120216,0,1.279000932,-1.596585275,0,1.110417533,-0.638947569,0,0.746584089,0.066175522,0
1.897796221,-2.197535068,0,1.358487859,-1.56543029,0,1.456098174,-1.361469999,0,1.29121427,-0.578454177,0
0.979420208,-1.278292651,0,1.283221477,-1.450573205,0,1.883307269,-1.857938535,0,0.888880529,-0.18701361,0
0.237733229,-0.272846544,-0.022213079,0.381080025,-0.67607752,-0.022213079,0.709297543,-0.63655687,-0.022213079,0.593898749,0.280988128,0
-0.080035723,0.105623686,-0.022213079,-0.300537961,0.161374205,-0.022213079,-0.112509265,0.133580319,-0.022213079,-0.238472464,0.577110999,0
-0.198393636,0.218628729,-0.022213079,-0.406051582,0.161374205,-0.022213079,-0.353833487,0.399479198,-0.022213079,-0.520546823,0.397748709,0
-0.276394553,0.276009983,-0.066639238,-0.463732361,0.161230634,-0.066639238,-0.366878039,0.64678375,-0.066639238,-0.375731862,0.294323971,-0.051948753
-0.388987181,0.311950156,-0.088852317,-0.535833334,0.161015277,-0.088852317,-0.48754015,0.508388829,-0.088852317,-0.362509626,0.355582501,-0.07792313
-0.587041683,0.338312141,-0.111065397,-0.797858824,0.16079992,-0.111065397,-0.807131687,0.689351478,-0.111065397,-0.496935688,0.715218523,-0.103897507
-0.951611186,0.338487887,-0.133278476,-0.747212287,0.16079992,-0.133278476,-1.286518992,0.658073163,-0.133278476,-0.623806187,0.838071378,-0.103897507
-0.756948028,0.327943093,-0.133278476,-0.701138006,0.16079992,-0.133278476,-0.944099488,0.825488516,-0.133278476,-0.708491458,0.790052749,-0.129871883
2.789719749,-2.957551094,1.421637079,2.21772044,-2.619459407,1.421637079,1.482187279,-1.255548742,1.421637079,1.601307176,-0.517963178,1.662360104
2.119250998,-2.620557053,1.665980952,2.213851607,-2.54516123,1.665980952,1.103895256,-1.087867755,1.665980952,2.035752061,-1.276858985,2.026001377
2.5665693,-2.651664195,1.799259428,2.167073902,-2.646163679,1.799259428,1.91591865,-1.646760105,1.799259428,2.157900332,-1.330825975,2.207822013
1.402999101,-1.606411491,1.821472507,1.662367086,-2.198867117,1.821472507,2.248554739,-2.279631314,1.821472507,1.322066153,-1.219821872,2.31171952
0.609763689,-0.634796598,1.821472507,0.657173998,-0.981597367,1.821472507,0.898443554,-0.850059592,1.821472507,1.098862223,-1.00016423,2.415617026
0.18482826,0.103075361,1.554915555,0.046601849,0.161804919,1.554915555,0.295133001,-0.279346562,1.554915555,0.610269136,-0.510335843,2.051975753
0.025774216,0.180140231,1.243932444,0.100413795,0.125122438,1.243932444,-0.024458536,0.426374564,1.243932444,-0.189676118,0.528037016,1.532488221
-0.128531946,0.258083833,0.888523174,-0.115185702,0.161302419,0.888523174,-0.037503088,0.382611487,0.888523174,-0.400917072,0.703033976,0.857154429
-0.234681019,0.296396584,0.644179301,-0.218237338,0.161374205,0.644179301,-0.167948614,0.660131821,0.644179301,-0.370380005,0.688882632,0.519487533
-0.258420429,0.395517648,0.33319619,-0.315309868,0.161087062,0.33319619,-0.184254304,0.724614291,0.33319619,-0.327565146,0.675834613,0.23376939
-0.386952375,0.394638915,0.044426159,-0.352591347,0.161230634,0.044426159,-0.311438691,0.802245607,0.044426159,-0.472380108,0.82660639,0
-0.338117018,0.383391135,-0.088852317,-0.449663878,0.161445991,-0.088852317,-0.422317388,0.744271151,-0.088852317,-0.405639299,0.764196564,-0.051948753
1.282606381,-1.19235258,0.666392381,1.023306259,-0.94699667,0.666392381,0.787564858,-0.612782695,0.666392381,1.284288337,-0.632469138,0.831180052
1.537635466,-1.840593791,0.821883936,1.220265017,-1.573326715,0.821883936,0.953882902,-0.714121778,0.821883936,0.551398706,0.296386709,0.935077559
1.432164661,-1.587870228,0.910736254,1.343364241,-1.349857898,0.910736254,1.381091997,-1.269162446,0.910736254,1.478214459,-0.727163217,0.987026312
1.320250302,-1.843581483,0.977375492,1.399286459,-1.649132391,0.977375492,1.452837036,-1.44401553,0.977375492,1.004102868,-0.460830124,1.013000688
